code,simples_nacional,cst00,cst02,cst10,cst15,cst20,cst30,cst40,cst41,cst50,cst51,cst53,cst60,cst61,cst70,cst90,dispositivo,descricao,obs
,SIM,SIM,SIM,SIM,SIM,,,,,,,,SIM,SIM,,,,Sem preenchimento do cBenef,"Contribuintes que utilizem CST 00, 02, 10, 15, 60 e 61 não estão obrigados ao preenchimento do campo Cbenef"
SP00SEMCBENEF,SIM,,,,,SIM,SIM,SIM,SIM,SIM,SIM,SIM,,,SIM,SIM,,Item sem cBenef e UF exige cBenef para o CST,"Informar a tag, preenchendo com ""SEM CBENEF"" em maiúsculas; indicar fundamentação legal nas informações complementares do documento fiscal"
SP099000,SIM,,,,,,,,,,,,,,,SIM,,Remessas de mercadorias entre estabelecimentos do mesmo titular,Observar as disposições do Anexo XI da Portaria SRE 41/2023
SP099999,SIM,,,,,,,,SIM,,,,,,,SIM,,"Operações, sem benefício fiscal, para as quais a legislação determine a emissão da NF sem destaque de ICMS",Indicar fundamentação legal nas informações complementares  do documento fiscal
SP010010,SIM,,,,,,SIM,SIM,,,,,,,,,Artigo 001 do Anexo I do RICMS,Isenção - ADJUDICAÇÃO EFETUADA PELO ESTADO,
SP010030,SIM,,,,,,SIM,SIM,,,,,,,,,Artigo 003 do Anexo I do RICMS,Isenção - AMOSTRA GRÁTIS,
SP010330,SIM,,,,,,SIM,SIM,,,,,,,,,Artigo 033 do Anexo I do RICMS,Isenção - EXPOSIÇÕES/FEIRAS,
SP010360,SIM,,,,,,SIM,SIM,,,,,,,,,Artigo 036 do Anexo I do RICMS,Isenção - HORTIFRUTIGRANJEIROS,
SP010370,SIM,,,,,,SIM,SIM,,,,,,,,,Artigo 037 do Anexo I do RICMS,Isenção - IMPORTAÇÃO - HIPÓTESES DIVERSAS,
SP010380,SIM,,,,,,SIM,SIM,,,,,,,,,Artigo 038 do Anexo I do RICMS,Isenção - IMPORTAÇÃO DE PRODUTOS HOSPITALARES,
SP010410,SIM,,,,,,SIM,SIM,,,,,,,,,Artigo 041 do Anexo I do RICMS,Isenção - INSUMOS AGROPECUÁRIOS,
SP010730,SIM,,,,,,SIM,SIM,,,,,,,,,Artigo 073 do Anexo I do RICMS,Isenção - REPRODUTOR/MATRIZ,
SP010780,SIM,,,,,,SIM,SIM,,,,,,,,,Artigo 078 do Anexo I do RICMS,Isenção - TRANSPORTE DE PASSAGEIROS,
SP010820,SIM,,,,,,SIM,SIM,,,,,,,,,Artigo 082 do Anexo I do RICMS,Isenção - VASILHAME/RECIPIENTE/EMBALAGEM,
SP010840,SIM,,,,,,SIM,SIM,,,,,,,,,Artigo 084 do Anexo I do RICMS,Isenção - ZONA FRANCA DE MANAUS,
SP010890,SIM,,,,,,SIM,SIM,,,,,,,,,Artigo 089 do Anexo I do RICMS,Isenção - AGROTÓXICO - EMBALAGEM - VAZIA,
SP010920,SIM,,,,,,SIM,SIM,,,,,,,,,Artigo 092 do Anexo I do RICMS,Isenção - MEDICAMENTOS,
SP010940,SIM,,,,,,SIM,SIM,,,,,,,,,Artigo 094 do Anexo I do RICMS,Isenção - MEDICAMENTOS - ÓRGÃOS PÚBLICOS,
SP010980,SIM,,,,,,SIM,SIM,,,,,,,,,Artigo 098 do Anexo I do RICMS,Isenção - ALGODÃO,
SP010990,SIM,,,,,,SIM,SIM,,,,,,,,,Artigo 099 do Anexo I do RICMS,Isenção - BORRACHA,
SP011010,SIM,,,,,,SIM,SIM,,,,,,,,,Artigo 101 do Anexo I do RICMS,Isenção - COELHO E AVE,
SP011020,SIM,,,,,,SIM,SIM,,,,,,,,,Artigo 102 do Anexo I do RICMS,Isenção - GADO,
SP011030,SIM,,,,,,SIM,SIM,,,,,,,,,Artigo 103 do Anexo I do RICMS,Isenção - LEITE,
SP011040,SIM,,,,,,SIM,SIM,,,,,,,,,Artigo 104 do Anexo I do RICMS,Isenção - HORTIFRUTIGRANJEIROS PARA INDUSTRIALIZAÇÃO,
SP011050,SIM,,,,,,SIM,SIM,,,,,,,,,Artigo 105 do Anexo I do RICMS,Isenção - PARTES E PEÇAS PARA FABRICAÇÃO DE TRATOR, CAMINHÃO E ÔNIBUS",
SP011230,SIM,,,,,,SIM,SIM,,,,,,,,,Artigo 123 do Anexo I do RICMS,Isenção - FARINHA DE MANDIOCA,
SP011270,SIM,,,,,,SIM,SIM,,,,,,,,,Artigo 127 do Anexo I do RICMS,Isenção - PEÇA DE VEÍCULO AUTOMOTOR SUBSTITUÍDA EM GARANTIA,
SP011320,SIM,,,,,,SIM,SIM,,,,,,,,,Artigo 132 do Anexo I do RICMS,Isenção - PEÇA SUBSTITUÍDA EM VIRTUDE DE GARANTIA,
SP011350,SIM,,,,,,SIM,SIM,,,,,,,,,Artigo 135 do Anexo I do RICMS,Isenção - FARINHA DE TRIGO E PRODUTOS RESULTANTES DE SUA INDUSTRIALIZAÇÃO,
SP011370,SIM,,,,,,SIM,SIM,,,,,,,,,Artigo 137 do Anexo I do RICMS,Isenção - ÓLEO COMESTÍVEL,
SP011400,SIM,,,,,,SIM,SIM,,,,,,,,,Artigo 140 do Anexo I do RICMS,Isenção - OPERAÇÕES INTERNAS COM MAÇÃ E PÊRA,
SP011680,SIM,,,,,,SIM,SIM,,,,,,,,,Artigo 168 do Anexo I do RICMS,Isenção - ARROZ,
SP011690,SIM,,,,,,SIM,SIM,,,,,,,,,Artigo 169 do Anexo I do RICMS,Isenção - FEIJÃO,
SP011820,SIM,,,,,,SIM,SIM,,,,,,,,,Artigo 182 do Anexo I do RICMS,Isenção - REFEIÇÃO,
SP011830,SIM,,,,,,SIM,SIM,,,,,,,,,Artigo 183 do Anexo I do RICMS,Isenção - LEVEDURAS,
SP020030,,,,,,SIM,,,,,,,,,SIM,,Artigo 003 do Anexo II do RICMS,Redução de Base de Cálculo - CESTA BÁSICA,
SP020090,,,,,,SIM,,,,,,,,,SIM,,Artigo 009 do Anexo II do RICMS,Redução de Base de Cálculo - INSUMOS AGROPECUÁRIOS,
SP020100,,,,,,SIM,,,,,,,,,SIM,,Artigo 010 do Anexo II do RICMS,Redução de Base de Cálculo - INSUMOS AGROPECUÁRIOS - RAÇÕES E ADUBOS,
SP020110,,,,,,SIM,,,,,,,,,SIM,,Artigo 011 do Anexo II do RICMS,"Redução de Base de Cálculo - MÁQUINAS, APARELHOS E VEÍCULOS USADOS",
SP020120,,,,,,SIM,,,,,,,,,SIM,,Artigo 012 do Anexo II do RICMS,Redução de Base de Cálculo - MÁQUINAS INDUSTRIAIS E IMPLEMENTOS AGRÍCOLAS,
SP020190,,,,,,SIM,,,,,,,,,SIM,,Artigo 019 do Anexo II do RICMS,Redução de Base de Cálculo - TRANSPORTE DE LEITE,
SP020260,,,,,,SIM,,,,,,,,,SIM,,Artigo 026 do Anexo II do RICMS,Redução de Base de Cálculo - DESENVOLVIMENTO INDUSTRIAL E AGROPECUÁRIO - EMBALAGENS PARA OVO IN NATURA,
