id,code,exception,tax_classification
l10n_br_fiscal.ncm_00000000,0000.00.00,,
__export__.l10n_br_fiscal_ncm_11545_f40493dc,0101.21.00,,
__export__.l10n_br_fiscal_ncm_11546_c79a33b7,0101.29.00,,
__export__.l10n_br_fiscal_ncm_11547_abb7c674,0101.30.00,,
__export__.l10n_br_fiscal_ncm_11548_cd56cf91,0101.90.00,,
__export__.l10n_br_fiscal_ncm_11549_2a76180d,0102.21.10,,l10n_br_fiscal.tax_classification_200038
__export__.l10n_br_fiscal_ncm_11550_96b16bf5,0102.21.90,,l10n_br_fiscal.tax_classification_200038
__export__.l10n_br_fiscal_ncm_11551_8c576bd2,0102.29.11,,l10n_br_fiscal.tax_classification_200038
__export__.l10n_br_fiscal_ncm_11552_ba7b05d3,0102.29.19,,l10n_br_fiscal.tax_classification_200038
__export__.l10n_br_fiscal_ncm_11553_87ffb78e,0102.29.90,,l10n_br_fiscal.tax_classification_200038
__export__.l10n_br_fiscal_ncm_11554_7337435a,0102.31.10,,l10n_br_fiscal.tax_classification_200038
__export__.l10n_br_fiscal_ncm_11555_588c6969,0102.31.90,,l10n_br_fiscal.tax_classification_200038
__export__.l10n_br_fiscal_ncm_11556_e2960cae,0102.39.11,,l10n_br_fiscal.tax_classification_200038
__export__.l10n_br_fiscal_ncm_11557_4558f9eb,0102.39.19,,l10n_br_fiscal.tax_classification_200038
__export__.l10n_br_fiscal_ncm_11558_7586c0b5,0102.39.90,,l10n_br_fiscal.tax_classification_200038
__export__.l10n_br_fiscal_ncm_11559_33ae0872,0102.90.00,,l10n_br_fiscal.tax_classification_200038
__export__.l10n_br_fiscal_ncm_11560_a041a8df,0103.10.00,,l10n_br_fiscal.tax_classification_200038
__export__.l10n_br_fiscal_ncm_11561_a3f1b33b,0103.91.00,,l10n_br_fiscal.tax_classification_200038
__export__.l10n_br_fiscal_ncm_11562_b742224d,0103.92.00,,l10n_br_fiscal.tax_classification_200038
__export__.l10n_br_fiscal_ncm_11563_138bfceb,0104.10.11,,l10n_br_fiscal.tax_classification_200038
__export__.l10n_br_fiscal_ncm_11564_f5d81896,0104.10.19,,l10n_br_fiscal.tax_classification_200038
__export__.l10n_br_fiscal_ncm_11565_b02f4efa,0104.10.90,,l10n_br_fiscal.tax_classification_200038
__export__.l10n_br_fiscal_ncm_11566_cfc59257,0104.20.10,,l10n_br_fiscal.tax_classification_200038
__export__.l10n_br_fiscal_ncm_11567_22e4085f,0104.20.90,,l10n_br_fiscal.tax_classification_200038
__export__.l10n_br_fiscal_ncm_11568_300adc30,0105.11.10,,l10n_br_fiscal.tax_classification_200038
__export__.l10n_br_fiscal_ncm_11569_7374e42b,0105.11.90,,l10n_br_fiscal.tax_classification_200038
__export__.l10n_br_fiscal_ncm_11570_1a50c9c6,0105.12.00,,l10n_br_fiscal.tax_classification_200038
__export__.l10n_br_fiscal_ncm_11571_18343aa5,0105.13.00,,l10n_br_fiscal.tax_classification_200038
__export__.l10n_br_fiscal_ncm_11572_0153ff67,0105.14.00,,l10n_br_fiscal.tax_classification_200038
__export__.l10n_br_fiscal_ncm_11573_c0e6ef15,0105.15.00,,l10n_br_fiscal.tax_classification_200038
__export__.l10n_br_fiscal_ncm_11574_bbd73cef,0105.94.00,,l10n_br_fiscal.tax_classification_200038
__export__.l10n_br_fiscal_ncm_11575_0c66c83e,0105.99.00,,l10n_br_fiscal.tax_classification_200038
__export__.l10n_br_fiscal_ncm_11576_6e313fa6,0106.11.00,,
__export__.l10n_br_fiscal_ncm_11577_dfadbeff,0106.12.00,,
__export__.l10n_br_fiscal_ncm_11578_b48aac18,0106.13.00,,
__export__.l10n_br_fiscal_ncm_11579_af36a9f9,0106.14.00,,
__export__.l10n_br_fiscal_ncm_11580_a31f5ba1,0106.19.00,,
__export__.l10n_br_fiscal_ncm_11581_e8a4c4ed,0106.20.00,,l10n_br_fiscal.tax_classification_200038
__export__.l10n_br_fiscal_ncm_11582_8063102a,0106.31.00,,
__export__.l10n_br_fiscal_ncm_11583_39a2cf49,0106.32.00,,
__export__.l10n_br_fiscal_ncm_11584_1b474e86,0106.33.10,,
__export__.l10n_br_fiscal_ncm_11585_9f6c0af4,0106.33.90,,
__export__.l10n_br_fiscal_ncm_11586_5d8d2175,0106.39.00,,
__export__.l10n_br_fiscal_ncm_11587_9c31a214,0106.41.00,,
__export__.l10n_br_fiscal_ncm_11588_487baef4,0106.49.00,,
__export__.l10n_br_fiscal_ncm_11589_491d39bf,0106.90.00,,l10n_br_fiscal.tax_classification_200038
__export__.l10n_br_fiscal_ncm_11590_d6549359,0201.10.00,,l10n_br_fiscal.tax_classification_200003
__export__.l10n_br_fiscal_ncm_11591_5e797b7d,0201.20.10,,l10n_br_fiscal.tax_classification_200003
__export__.l10n_br_fiscal_ncm_11592_f289140d,0201.20.20,,l10n_br_fiscal.tax_classification_200003
