"id","code","name","cst_type","tax_group_id:id"
"cst_ibscbs_000001","0001","Tributação integral","out","tax_group_ibscbs"
"cst_ibscbs_010001","0101","Tributação com alíquotas uniformes – operações setor financeiro (inserido)","all","tax_group_ibscbs"
"cst_ibscbs_010002","0102","Tributação com alíquotas uniformes reduzidas em 60% (inserido)","all","tax_group_ibscbs"
"cst_ibscbs_010003","0103","Tributação com alíquotas uniformes reduzidas em 30% (inserido)","all","tax_group_ibscbs"
"cst_ibscbs_200001","2001","Alíquota zero","all","tax_group_ibscbs"
"cst_ibscbs_200002","2002","Alíquota zero apenas CBS e reduzida em 60% para IBS","all","tax_group_ibscbs"
"cst_ibscbs_200003","2003","Alíquota reduzida em 80%","all","tax_group_ibscbs"
"cst_ibscbs_200004","2004","Alíquota reduzida em 70% (inserido)","all","tax_group_ibscbs"
"cst_ibscbs_200005","2005","Alíquota reduzida em 60%","all","tax_group_ibscbs"
"cst_ibscbs_200006","2006","Alíquota reduzida em 50% (inserido)","all","tax_group_ibscbs"
"cst_ibscbs_200007","2007","Alíquota reduzida em 40%","all","tax_group_ibscbs"
"cst_ibscbs_200008","2008","Alíquota reduzida em 30%","all","tax_group_ibscbs"
"cst_ibscbs_210001","2101","Alíquota reduzida em 50% com redutor de base de cálculo (inserido)","all","tax_group_ibscbs"
"cst_ibscbs_210002","2102","Alíquota reduzida em 70% com redutor de base de cálculo (inserido)","all","tax_group_ibscbs"
"cst_ibscbs_220001","2201","Alíquota fixa (inserido)","all","tax_group_ibscbs"
"cst_ibscbs_220002","2202","Alíquota fixa proporcional (inserido)","all","tax_group_ibscbs"
"cst_ibscbs_400001","4001","Isenção","all","tax_group_ibscbs"
"cst_ibscbs_410001","4101","Imunidade e não incidência","all","tax_group_ibscbs"
"cst_ibscbs_510001","5101","Diferimento","all","tax_group_ibscbs"
"cst_ibscbs_550001","5501","Suspensão","all","tax_group_ibscbs"
"cst_ibscbs_620001","6201","Tributação monofásica","all","tax_group_ibscbs"
"cst_ibscbs_800001","8001","Transferência de crédito","all","tax_group_ibscbs"
"cst_ibscbs_810001","8101","Ajustes","all","tax_group_ibscbs"
"cst_ibscbs_820001","8201","Tributação em declaração de regime específico (inserido)","all","tax_group_ibscbs"
"cst_ibs_001","001","IBS Tributação integral","out","tax_group_ibs"
"cst_cbs_001","001","CBS Tributação integral","out","tax_group_cbs"
"cst_ibscbs_410014","4114","Produtor Rural - Isento","out","tax_group_ibscbs"
